Time,Php,Toutdoor,Tindoor,Fbld,Qbld,Tbld,sup,Tbld,ret,Tout,sup,Tout,ret,F hw,Thw in,c,Thw out,Fhp,Thp,sup,Thp,ret,R0,R1,R2,R3,R4,R5,R6,R7,Qhp,Php.1,Pbld
Wed Mar 01 2017 11:00:00 GMT+0100 (CET),26.89,5.961725,22.97034,0.3476666667,8950000,23.6333333333,23.4333333333,2.3666666667,0.0666666667,3,13.2333333333,46.7,0,41.6666666667,23.9,22.3091706371,22.3456677381,22.1961374077,22.7260583684,20.8007967768,21.3810496308,21.75585654,21.6487393206,6975000,0,80.67,,,,,,,
Wed Mar 01 2017 11:15:00 GMT+0100 (CET),30.56,5.80545,22977,349,8950000,23.5,23.2333333333,2.5333333333,0.6333333333,0.0013333333,17.1,44.2,0,32.7666666667,24.6,22.3060897172,22.3341488762,22.1614927828,22.6089153499,20.7440624114,21.3146031428,21.8519975147,21.5959918703,6975000,0,91.67,,,,,,,
Wed Mar 01 2017 11:30:00 GMT+0100 (CET),26.00,5.7456,23.0103,349,8950000,23.3333333333,23.1,3.6666666667,4.3333333333,0.0523333333,10.9666666667,50.2666666667,0.0056666667,27.5666666667,24.5333333333,22.309772913,22.3340544938,22.1441087195,22.6271220497,20.7872885571,21.3210650818,21.7562304476,21.6546275937,6975000,125,78.00,,,,,,,
Wed Mar 01 2017 11:45:00 GMT+0100 (CET),65.44,5.842025,23.02695,0.32,8950000,23.6,23.0666666667,4.9333333333,8.0666666667,43,10.7666666667,50.5,0.0056666667,42.4666666667,23.1333333333,22.3176190396,22.3278912244,22.1427792218,22.6212279721,20.7482952946,21.324074351,21.7593408109,21.6043975377,6975000,125,196.33,,,,,,,
Wed Mar 01 2017 12:00:00 GMT+0100 (CET),30.22,5.8919,22.99365,0.3483333333,8950000,23.3333333333,23.1,6.6,9.9,0.0023333333,15.6,47.4333333333,3,42.3333333333,23.2666666667,22.3119190121,22.3522854903,22.1956133742,22.5936827806,20.7582468259,21.3143486234,21.8350040166,21.6494937531,6975000,67,90.67,,,,,,,
Wed Mar 01 2017 12:15:00 GMT+0100 (CET),18.89,5.842025,23.02029,0.3483333333,8950000,23.1333333333,23.0333333333,8.0333333333,11.0666666667,1,18.8,45,0,40.7666666667,23.5,22.306585577,22.4526540216,22.1294225692,22.5914899676,20.7914804797,21.3093334737,21.7587388379,21.6045891024,6975000,0,56.67,,,,,,,
Wed Mar 01 2017 12:30:00 GMT+0100 (CET),783.00,5.835375,23.00031,0.3466666667,8950000,28.8666666667,23,4.5,1.8333333333,1,20.7666666667,43,0.6263333333,30.7666666667,22.9,22.2594177774,22.3479492376,22.1982088172,22.5474719906,20.7527031649,21.3230963656,21.640443021,21.5379071483,6976333.33333333,5729.6666666667,2349.00,,,,,,,
Wed Mar 01 2017 12:45:00 GMT+0100 (CET),948.44,5.901875,22.98366,0.3473333333,8950666.66666666,31.1666666667,24.1,2.9666666667,0.05,0.0316666667,11.8666666667,49.5,0.6285,31.8333333333,25.3666666667,22.313707056,22.3346689807,22.1908413705,22.6330443367,20.7882574723,21.349188424,21.7687826196,21.5926632132,6977333.33333333,4743.5,2845.33,,,,,,,
Wed Mar 01 2017 13:00:00 GMT+0100 (CET),813.56,5.855325,22.98366,0.3463333333,8951333.33333333,31.1666666667,25.0666666667,3.7,2.4666666667,0.0023333333,15.4666666667,46.4,2,32.5,26.2666666667,22.2615757828,22.3288847684,22.1753738912,22.5513916802,20.6937417233,21.3353394504,21.7582379665,21.6125449047,6978000,15,2440.67,,,,,,,
Wed Mar 01 2017 13:15:00 GMT+0100 (CET),31.67,5.76555,22.98033,0.3506666667,8952000,25.2666666667,25.2666666667,4.3,6.5666666667,1,18.0666666667,44,0,31.6333333333,25.0666666667,22.3047730795,22.3320707975,22.1372895892,22.5371653907,20.6515112053,21.4645849832,21.7552023665,21.6031809111,6978000,0,95.00,,,,,,,
